Date,Stock_Price,Trading_Volume,Market_Cap
2025-02-18,0.9451721167488785,0.17171324889820272,0.0
2025-02-19,1.0,0.07789263930363421,0.0
2025-02-20,0.9695479794135631,0.0,0.0
2025-02-21,0.8227979814198498,0.3757220673136896,0.0
2025-02-24,0.764865485119973,0.2980514628259219,0.0
2025-02-25,0.6114648778090128,0.6469961313461083,0.0
2025-02-26,0.5381319330836911,0.34915418864643133,0.0
2025-02-27,0.420121986004264,0.37275447107471715,0.0
2025-02-28,0.5234660657799726,0.6178389230261812,0.0
2025-03-03,0.3964005151772687,0.4732482361352377,0.0
2025-03-04,0.3478655933039647,0.6614800679345796,0.0
2025-03-05,0.45361385854971115,0.33117259815856437,0.0
2025-03-06,0.33734032985355,0.3748682425217664,0.0
2025-03-07,0.3350501139477906,0.4264348192576044,0.0
2025-03-10,0.018020504194633524,1.0,0.0
2025-03-11,0.027397735800509082,0.8993221478921427,0.0
2025-03-12,0.11643987946847645,0.6008435708204267,0.0
2025-03-13,0.0,0.4741355679993735,0.0
2025-03-14,0.12104699956769949,0.39627603206828654,0.0
2025-03-17,0.06099244223774303,0.436371079117464,0.0
